id, deeplink,thumbnail_img_src,has_motiv,motiv,motivkategorie
"1444","https://www.otto.de/p/tom-tailor-langarmshirt-langarmshirt-motiv-print-693286323/#variationId=693286325","https://i.otto.de/i/otto/26787496?$001PICT36$","1","Marienkäfer","Tier"
"3024","https://www.otto.de/p/tom-tailor-sweater-langarmshirt-mit-motiv-print-693424783/#variationId=693424786","https://i.otto.de/i/otto/26804517?$001PICT36$","1","Marienkäfer","Tier"
"750","https://www.otto.de/p/logoshirt-t-shirt-mit-wickie-der-wikinger-frontdruck-wickie-694158417/#variationId=694158420","https://i.otto.de/i/otto/27480182?$001PICT36$","1","Wicki","Animationsfilm Action"
"447","https://www.otto.de/p/name-it-wendepailletten-t-shirt-706147992/#variationId=706147995","https://i.otto.de/i/otto/26828225?$001PICT36$","1","Hand","Körperteil"
"935","https://www.otto.de/p/guess-kids-t-shirt-713522469/#variationId=713522470","https://i.otto.de/i/otto/27316792?$001PICT36$","1","Hand","Körperteil"
"3142","https://www.otto.de/p/name-it-wendepailletten-t-shirt-706147992/#variationId=706147995","https://i.otto.de/i/otto/26826878?$001PICT36$","1","Hand","Körperteil"
"2996","https://www.otto.de/p/marc-o-polo-junior-langarmshirt-671497651/#variationId=671497652","https://i.otto.de/i/otto/24194088?$001PICT36$","1","Hand","Körperteil"
"4016","https://www.otto.de/p/marc-o-polo-junior-langarmshirt-628663654/#variationId=628663657","https://i.otto.de/i/otto/20399450?$001PICT36$","1","Hand","Körperteil"
"4111","https://www.otto.de/p/name-it-print-oberteil-mit-langen-aermeln-678125484/#variationId=678125487","https://i.otto.de/i/otto/24526310?$001PICT36$","1","Hand","Körperteil"
"4294","https://www.otto.de/p/name-it-print-oberteil-mit-kurzen-aermeln-688433356/#variationId=688433357","https://i.otto.de/i/otto/25531823?$001PICT36$","1","Hand","Körperteil"
"4492","https://www.otto.de/p/tom-tailor-langarmshirt-langarmshirt-mit-foto-print-669859590/#variationId=669859591","https://i.otto.de/i/otto/26784136?$001PICT36$","1","Berg","Landschaft"
"2654","https://www.otto.de/p/name-it-print-t-shirt-mit-langen-aermeln-720201273/#variationId=720201274","https://i.otto.de/i/otto/27555911?$001PICT36$","1","Berg","Landschaft"
"4420","https://www.otto.de/p/quiksilver-t-shirt-lost-in-the-mountains-719809995/#variationId=719810000","https://i.otto.de/i/otto/27526519?$001PICT36$","1","Berg","Landschaft"
"4221","https://www.otto.de/p/quiksilver-longsleeve-under-water-719809818/#variationId=719809822","https://i.otto.de/i/otto/27526518?$001PICT36$","1","Berg","Landschaft"
"4528","https://www.otto.de/p/tom-tailor-langarmshirt-langarmshirt-mit-foto-print-669859590/#variationId=669859591","https://i.otto.de/i/otto/26800625?$001PICT36$","1","Berg","Landschaft"
"3863","https://www.otto.de/p/noppies-langarmshirt-taadj-717297025/#variationId=717297026","https://i.otto.de/i/otto/27450763?$001PICT36$","1","Berg","Landschaft"
"4548","https://www.otto.de/p/name-it-grafikprint-oberteil-mit-langen-aermeln-678121819/#variationId=678121820","https://i.otto.de/i/otto/24492179?$001PICT36$","1","Berg","Landschaft"
"4529","https://www.otto.de/p/tom-tailor-langarmshirt-langarmshirt-mit-grossem-foto-print-693607365/#variationId=693607366","https://i.otto.de/i/otto/27095206?$001PICT36$","1","Berg","Landschaft"
"4521","https://www.otto.de/p/name-it-grafikprint-t-shirt-696263588/#variationId=696270510","https://i.otto.de/i/otto/26172955?$001PICT36$","1","Berg","Landschaft"
"4425","https://www.otto.de/p/noppies-t-shirt-krebs-656636727/#variationId=656636728","https://i.otto.de/i/otto/22160039?$001PICT36$","1","Berg","Landschaft"
"4658","https://www.otto.de/p/tom-tailor-t-shirt-mit-wuesten-print-692883729/#variationId=692883731","https://i.otto.de/i/otto/26777905?$001PICT36$","1","Berg","Landschaft"
"4661","https://www.otto.de/p/tom-tailor-t-shirt-mit-wuesten-print-692883729/#variationId=692883731","https://i.otto.de/i/otto/26773642?$001PICT36$","1","Berg","Landschaft"
"4583","https://www.otto.de/p/quiksilver-longsleeve-under-water-719809818/#variationId=719809822","https://i.otto.de/i/otto/27526515?$001PICT36$","1","Berg","Landschaft"
"4672","https://www.otto.de/p/lego-wear-t-shirt-tanya-603-mesh-einsaetzen-736668177/#variationId=736668178","https://i.otto.de/i/otto/28526022?$001PICT36$","1","Berg","Landschaft"
"4651","https://www.otto.de/p/tom-tailor-langarmshirt-langarmshirt-mit-foto-print-669859590/#variationId=669859591","https://i.otto.de/i/otto/26783780?$001PICT36$","1","Berg","Landschaft"
"4527","https://www.otto.de/p/tom-tailor-langarmshirt-gestreiftes-shirt-mit-foto-print-669873502/#variationId=669873503","https://i.otto.de/i/otto/26800475?$001PICT36$","1","Berg","Landschaft"
"4673","https://www.otto.de/p/lego-wear-t-shirt-tanya-603-mesh-einsaetzen-736668177/#variationId=736668178","https://i.otto.de/i/otto/28526018?$001PICT36$","1","Berg","Landschaft"
"4610","https://www.otto.de/p/tom-tailor-langarmshirt-langarmshirt-mit-foto-print-669859590/#variationId=669859591","https://i.otto.de/i/otto/26777563?$001PICT36$","1","Berg","Landschaft"
"4616","https://www.otto.de/p/tom-tailor-langarmshirt-langarmshirt-mit-grossem-foto-print-693607365/#variationId=693607366","https://i.otto.de/i/otto/26850954?$001PICT36$","1","Berg","Landschaft"
"4652","https://www.otto.de/p/tom-tailor-langarmshirt-langarmshirt-mit-foto-print-669684957/#variationId=669978812","https://i.otto.de/i/otto/26806157?$001PICT36$","1","Berg","Landschaft"
"4659","https://www.otto.de/p/tom-tailor-t-shirt-mit-wuesten-print-692883729/#variationId=692883731","https://i.otto.de/i/otto/26807599?$001PICT36$","1","Berg","Landschaft"
"684","https://www.otto.de/p/name-it-wendepailletten-oberteil-mit-langen-aermeln-672031709/#variationId=672031719","https://i.otto.de/i/otto/24309192?$001PICT36$","1","Pizza","Essen und Trinken"
"1192","https://www.otto.de/p/name-it-wendepailletten-oberteil-mit-langen-aermeln-672031709/#variationId=672031719","https://i.otto.de/i/otto/24312409?$001PICT36$","1","Pizza","Essen und Trinken"
"442","https://www.otto.de/p/lego-wear-t-shirt-tallys-402-papagai-694123770/#variationId=699387143","https://i.otto.de/i/otto/26489952?$001PICT36$","1","Lego","LEGO"
"489","https://www.otto.de/p/lego-wear-t-shirt-thomas-602-ninjago-motiv-736667927/#variationId=736667928","https://i.otto.de/i/otto/28526012?$001PICT36$","1","Lego","LEGO"
"1132","https://www.otto.de/p/lego-wear-t-shirt-tyler-609-berge-leuchten-im-dunkeln-736667612/#variationId=736667617","https://i.otto.de/i/otto/28525995?$001PICT36$","1","Lego","LEGO"
"1125","https://www.otto.de/p/lego-wear-t-shirt-teo-404-ninjago-728600725/#variationId=728600727","https://i.otto.de/i/otto/27933620?$001PICT36$","1","Lego","LEGO"
